Año;Mes;Dia;Hora;Minutos;Segundos;Temperatura;Precipitacion;Humedad;Rendimiento
2008;5;24;0;0;0;28,40;14.5;93;6,00
2008;5;25;0;0;0;27,40;100;91;6,00
2008;5;26;0;0;0;27,00;18;95;6,00
2008;5;27;0;0;0;27,20;46;93;6,00
2008;5;28;0;0;0;26,00;52.5;98;6,00
2008;5;29;0;0;0;28,00;0.9;94;6,00
2008;5;30;0;0;0;29,00;0;80;6,00
2008;5;31;0;0;0;28,80;0;74;6,00
2008;6;1;0;0;0;29,40;19;80;6,00
2008;6;2;0;0;0;28,60;29;90;6,00
2008;6;3;0;0;0;26,40;0;93;6,00
2008;6;4;0;0;0;28,80;1.3;91;6,00
2008;6;5;0;0;0;29,20;0;95;6,00
2008;6;6;0;0;0;29,00;0;89;6,00
2008;6;7;0;0;0;29,20;1.7;0;6,00
2008;6;8;0;0;0;28,00;0;90;6,00
2008;6;9;0;0;0;27,60;0;93;6,00
2008;6;10;0;0;0;28,20;1;89;6,00
2008;6;11;0;0;0;28,60;0.7;83;6,00
2008;6;12;0;0;0;30,60;17;90;6,00
2008;6;13;0;0;0;29,60;25;88;6,00
2008;6;14;0;0;0;27,40;16;83;6,00
2008;6;15;0;0;0;28,20;0;92;6,00
2008;6;16;0;0;0;29,00;29;95;6,00
2008;6;17;0;0;0;29,00;1.2;93;6,00
2008;6;18;0;0;0;28,40;0;86;6,00
2008;6;19;0;0;0;28,80;3;93;6,00
2008;6;20;0;0;0;29,60;33;0;6,00
2008;6;21;0;0;0;29,40;1.5;86;6,00
2008;6;22;0;0;0;28,80;55;95;6,00
2008;6;23;0;0;0;28,00;0;94;6,00
